resource_type,n,json_validity_rate,resource_type_match_rate,exact_string_match_rate,observation_value_exact_match_rate,observation_unit_exact_match_rate,model
Condition,45,1.0,1.0,0.5111111111111111,,,Qwen 0.8B
Observation,277,0.8772563176895307,0.8772563176895307,0.4657039711191336,1.0,0.9917695473251028,Qwen 0.8B
Patient,78,0.4743589743589743,0.4743589743589743,0.4102564102564102,,,Qwen 0.8B
Condition,45,1.0,1.0,0.0666666666666666,,,Qwen 2B
Observation,277,0.8772563176895307,0.8772563176895307,0.1696750902527075,1.0,0.925925925925926,Qwen 2B
Patient,78,0.3846153846153846,0.3846153846153846,0.3205128205128205,,,Qwen 2B
Condition,45,0.4666666666666667,0.2666666666666666,0.0,,,Qwen 4B
Observation,277,0.3537906137184115,0.1552346570397112,0.0,0.4489795918367347,0.3979591836734694,Qwen 4B
Patient,78,0.2051282051282051,0.1153846153846153,0.0256410256410256,,,Qwen 4B
